accession	genome	experiment_type	num_reads
SRX063959	ce11	Histone	8103294
SRX063960	ce11	TFs and others	17659150
SRX065624	ce11	TFs and others	3506992
SRX065625	ce11	TFs and others	5547738
SRX065628	ce11	TFs and others	5037643
SRX065629	ce11	TFs and others	6202620
SRX065632	ce11	TFs and others	5463422
SRX065633	ce11	TFs and others	5717141
SRX065636	ce11	TFs and others	5310923
SRX065637	ce11	TFs and others	5719110
SRX065640	ce11	TFs and others	4247556
SRX065641	ce11	TFs and others	8765642
SRX065644	ce11	TFs and others	6535960
SRX065645	ce11	TFs and others	4851771
SRX065648	ce11	TFs and others	4753341
SRX065649	ce11	TFs and others	6346433
SRX065652	ce11	TFs and others	6565644
SRX065653	ce11	TFs and others	4773284
SRX065656	ce11	TFs and others	6363241
SRX065657	ce11	TFs and others	4582326
SRX065660	ce11	TFs and others	7263691
SRX065661	ce11	TFs and others	5134187
SRX065664	ce11	TFs and others	7947887
SRX065665	ce11	TFs and others	4189170
SRX065677	ce11	TFs and others	6611858
SRX065678	ce11	TFs and others	6518274
SRX065681	ce11	TFs and others	7350402
SRX065682	ce11	TFs and others	5456507
SRX065685	ce11	TFs and others	4949042
SRX065686	ce11	TFs and others	7562402
SRX065689	ce11	TFs and others	9851248
SRX065690	ce11	TFs and others	3673862
SRX065693	ce11	TFs and others	4470745
SRX065694	ce11	TFs and others	5025753
SRX065697	ce11	TFs and others	3661211
SRX065698	ce11	TFs and others	4542835
SRX065701	ce11	TFs and others	7187808
SRX065702	ce11	TFs and others	4912880
SRX065705	ce11	TFs and others	6455317
SRX065706	ce11	TFs and others	8952230
SRX065709	ce11	TFs and others	5679829
SRX065710	ce11	TFs and others	6286196
SRX065713	ce11	TFs and others	5788678
SRX065714	ce11	TFs and others	2439120
SRX065717	ce11	TFs and others	6148093
SRX065718	ce11	TFs and others	6153186
SRX065721	ce11	TFs and others	9517145
SRX065722	ce11	TFs and others	8304966
SRX065725	ce11	TFs and others	8960112
SRX065726	ce11	TFs and others	8990633
SRX076077	ce11	Histone	16917825
SRX076078	ce11	Histone	12676822
SRX076079	ce11	Histone	12806974
SRX080059	ce11	TFs and others	3638904
SRX080061	ce11	TFs and others	5371132
