accession	genome	experiment_type	num_reads
SRX331060	ce11	TFs and others	1781884
SRX331062	ce11	TFs and others	3030633
SRX331064	ce11	TFs and others	3773715
SRX331066	ce11	TFs and others	5918156
SRX331068	ce11	TFs and others	4183134
SRX331070	ce11	TFs and others	7199430
SRX331072	ce11	TFs and others	2451415
SRX331074	ce11	TFs and others	8389667
SRX331076	ce11	TFs and others	5508567
SRX331078	ce11	TFs and others	6970086
SRX331080	ce11	TFs and others	11751645
SRX331082	ce11	TFs and others	6016478
SRX331084	ce11	TFs and others	4663656
SRX331086	ce11	TFs and others	4076275
SRX331088	ce11	TFs and others	10792562
SRX331090	ce11	TFs and others	4292701
SRX331092	ce11	TFs and others	8054469
SRX331094	ce11	TFs and others	6334902
SRX331096	ce11	TFs and others	5469126
SRX331098	ce11	TFs and others	9300667
SRX331100	ce11	TFs and others	8220288
SRX331102	ce11	TFs and others	3584351
SRX331104	ce11	TFs and others	8535583
SRX331106	ce11	TFs and others	6678742
SRX331108	ce11	TFs and others	7682609
SRX331110	ce11	TFs and others	7295150
SRX331112	ce11	TFs and others	7291956
SRX331114	ce11	TFs and others	4764680
SRX331116	ce11	TFs and others	3689890
SRX331118	ce11	TFs and others	8476444
SRX331120	ce11	TFs and others	1856824
SRX331122	ce11	TFs and others	8185007
SRX331124	ce11	TFs and others	6363961
SRX331126	ce11	TFs and others	6569351
SRX331128	ce11	TFs and others	7622403
SRX331130	ce11	TFs and others	5529337
SRX331132	ce11	TFs and others	5077334
SRX331134	ce11	TFs and others	4294213
SRX331136	ce11	TFs and others	6142831
SRX331138	ce11	TFs and others	9630327
SRX331140	ce11	TFs and others	2201448
SRX331142	ce11	TFs and others	2541302
SRX331144	ce11	TFs and others	5840271
SRX331146	ce11	TFs and others	5936673
SRX331148	ce11	TFs and others	5485338
SRX331150	ce11	TFs and others	6147122
SRX331152	ce11	TFs and others	2574869
SRX331154	ce11	TFs and others	3079619
SRX331156	ce11	TFs and others	5565276
SRX331158	ce11	TFs and others	3526794
SRX331160	ce11	TFs and others	6332462
SRX331162	ce11	TFs and others	3940365
SRX331164	ce11	TFs and others	3204493
SRX331166	ce11	TFs and others	5062929
SRX331168	ce11	TFs and others	4880791
SRX331170	ce11	TFs and others	9164852
SRX331172	ce11	TFs and others	8980981
SRX331174	ce11	TFs and others	7546344
SRX331176	ce11	TFs and others	4026103
SRX331178	ce11	TFs and others	6450919
SRX331180	ce11	TFs and others	6838539
SRX331182	ce11	TFs and others	8202913
SRX331184	ce11	TFs and others	5886071
SRX331186	ce11	TFs and others	8042136
SRX331188	ce11	TFs and others	7928979
SRX331190	ce11	TFs and others	5787933
SRX331192	ce11	TFs and others	7337628
SRX331194	ce11	TFs and others	7460381
SRX331196	ce11	TFs and others	7354875
SRX331198	ce11	TFs and others	8375307
SRX331200	ce11	TFs and others	7436656
SRX331202	ce11	TFs and others	8809343
SRX331204	ce11	TFs and others	7997830
SRX331206	ce11	TFs and others	8379896
SRX331208	ce11	TFs and others	6507231
SRX331210	ce11	TFs and others	7609412
SRX331212	ce11	TFs and others	7220126
SRX331214	ce11	TFs and others	6444449
SRX331216	ce11	TFs and others	7166123
SRX331218	ce11	TFs and others	7546709
SRX331220	ce11	TFs and others	7462071
SRX331222	ce11	TFs and others	8904727
SRX331224	ce11	TFs and others	7342927
SRX331226	ce11	TFs and others	8214334
SRX331228	ce11	TFs and others	7646519
SRX331230	ce11	TFs and others	8243027
SRX331232	ce11	TFs and others	7203889
SRX331234	ce11	TFs and others	7921729
SRX331236	ce11	TFs and others	5890491
SRX331238	ce11	TFs and others	7182298
SRX331240	ce11	TFs and others	4761148
SRX331242	ce11	TFs and others	3815829
SRX331244	ce11	TFs and others	7439152
SRX331246	ce11	TFs and others	5684956
SRX331248	ce11	TFs and others	5744936
SRX331250	ce11	TFs and others	7662619
SRX331252	ce11	TFs and others	5767192
SRX331254	ce11	TFs and others	4987057
SRX331256	ce11	TFs and others	1679751
SRX331258	ce11	TFs and others	7909714
SRX331260	ce11	TFs and others	8102787
SRX331262	ce11	TFs and others	6399484
SRX331264	ce11	TFs and others	5470538
SRX331266	ce11	TFs and others	5635785
SRX331268	ce11	RNA polymerase	6288278
SRX331270	ce11	RNA polymerase	7159638
SRX331272	ce11	TFs and others	8199658
SRX331274	ce11	TFs and others	4872531
SRX331276	ce11	TFs and others	2765073
SRX331278	ce11	TFs and others	7234191
SRX331280	ce11	TFs and others	4589095
SRX331282	ce11	TFs and others	3963227
SRX331284	ce11	TFs and others	3314139
SRX331286	ce11	TFs and others	6289761
SRX331288	ce11	TFs and others	6220390
SRX331290	ce11	TFs and others	6532383
SRX331292	ce11	TFs and others	5829983
SRX331294	ce11	TFs and others	6520157
SRX331296	ce11	TFs and others	7443885
SRX331298	ce11	TFs and others	2309911
SRX331300	ce11	TFs and others	3101176
SRX331302	ce11	TFs and others	6586947
SRX331304	ce11	TFs and others	7603807
SRX331306	ce11	TFs and others	4033711
SRX331308	ce11	TFs and others	2555624
SRX331310	ce11	TFs and others	3243937
SRX331312	ce11	TFs and others	2625177
SRX331314	ce11	TFs and others	3942107
SRX331316	ce11	TFs and others	3012445
SRX331318	ce11	TFs and others	3566568
SRX331320	ce11	TFs and others	4321007
SRX331322	ce11	TFs and others	6488610
SRX331324	ce11	TFs and others	4098925
SRX331326	ce11	TFs and others	6899874
SRX331328	ce11	TFs and others	5605956
SRX331330	ce11	TFs and others	2303347
SRX331332	ce11	TFs and others	4833160
SRX331335	ce11	Histone	12236336
SRX331336	ce11	Histone	9464299
SRX331340	ce11	Histone	22299748
SRX331343	ce11	TFs and others	16994712
SRX331344	ce11	TFs and others	30577412
SRX331347	ce11	Histone	21734629
SRX331348	ce11	Histone	13598392
SRX331351	ce11	Histone	26834022
SRX331352	ce11	Histone	25432513
SRX331355	ce11	TFs and others	13914899
SRX331356	ce11	TFs and others	12716387
SRX331363	ce11	Histone	13468938
SRX331364	ce11	Histone	20479825
SRX335101	ce11	TFs and others	13765284
SRX335102	ce11	TFs and others	10418283
SRX335103	ce11	Histone	11499142
SRX335104	ce11	Histone	10309088
SRX3411419	ce11	TFs and others	3411246
SRX3411420	ce11	TFs and others	3952910
SRX3411421	ce11	TFs and others	6772794
SRX341784	ce11	TFs and others	10834267
SRX341785	ce11	TFs and others	17755494
SRX341786	ce11	TFs and others	13505880
SRX341787	ce11	TFs and others	17389010
SRX341788	ce11	Histone	20555672
SRX341789	ce11	Histone	17380069
SRX3583334	ce11	Histone	41569262
SRX3583335	ce11	Histone	36795442
SRX3583336	ce11	Histone	38739324
SRX3583337	ce11	Histone	40124136
SRX3583338	ce11	Histone	42230977
SRX3583339	ce11	Histone	41524876
SRX3583340	ce11	Histone	33757140
SRX3583341	ce11	Histone	32777421
SRX3583342	ce11	Histone	32930092
SRX3583343	ce11	Histone	32500265
SRX3583344	ce11	Histone	39684890
SRX3583345	ce11	Histone	43168615
SRX3583346	ce11	Histone	37460851
SRX3583347	ce11	Histone	38102325
SRX3583348	ce11	Histone	43843727
SRX3583349	ce11	Histone	39347896
SRX3583350	ce11	Histone	36456787
SRX3583351	ce11	Histone	33663924
SRX3583352	ce11	Histone	34339953
SRX3583353	ce11	Histone	33116848
SRX373265	ce11	TFs and others	16825846
SRX373266	ce11	TFs and others	18184450
SRX373267	ce11	TFs and others	17041594
SRX373268	ce11	TFs and others	16438653
SRX373269	ce11	TFs and others	6517898
SRX373270	ce11	TFs and others	20161513
SRX373271	ce11	TFs and others	18870642
SRX373277	ce11	TFs and others	19946188
SRX3733151	ce11	TFs and others	43231688
SRX3733152	ce11	TFs and others	35816431
SRX3733153	ce11	TFs and others	28529693
SRX3733154	ce11	TFs and others	26843545
SRX3733155	ce11	TFs and others	23736589
SRX3733156	ce11	TFs and others	25826866
SRX3733157	ce11	TFs and others	37064952
SRX3733158	ce11	TFs and others	46643726
SRX3733159	ce11	TFs and others	46942664
SRX3733160	ce11	TFs and others	27439278
SRX3733161	ce11	TFs and others	29694149
SRX3733162	ce11	TFs and others	32895075
SRX3923759	ce11	TFs and others	64808971
SRX3923760	ce11	TFs and others	70025667
SRX3923761	ce11	TFs and others	58525121
SRX3923762	ce11	TFs and others	71485065
SRX3942553	ce11	Histone	16348560
SRX3942554	ce11	Histone	17233149
SRX3942555	ce11	Histone	21320060
SRX3942556	ce11	Histone	14716059
SRX3942557	ce11	Histone	17425224
SRX3942558	ce11	Histone	16902415
SRX395521	ce11	TFs and others	15559478
SRX395522	ce11	TFs and others	11621148
SRX395523	ce11	TFs and others	6033804
SRX395524	ce11	TFs and others	11343538
SRX395525	ce11	TFs and others	11436310
SRX395526	ce11	TFs and others	13603658
SRX395527	ce11	TFs and others	10578501
SRX395528	ce11	TFs and others	13791086
SRX395529	ce11	TFs and others	8963759
SRX395530	ce11	TFs and others	8344001
SRX395531	ce11	RNA polymerase	19353070
SRX395532	ce11	RNA polymerase	12817241
SRX4012474	ce11	Histone	36173858
SRX4012476	ce11	Histone	32420082
SRX4012478	ce11	Histone	40879283
SRX4012480	ce11	Histone	37002202
SRX4029336	ce11	ATAC-Seq	24327078
SRX4029337	ce11	ATAC-Seq	16157449
SRX4029338	ce11	ATAC-Seq	14720669
SRX4082334	ce11	Histone	14123310
SRX4082335	ce11	Histone	19108035
SRX4082336	ce11	Histone	14229371
SRX4082337	ce11	Histone	29109017
SRX4082338	ce11	Histone	14310994
SRX4082339	ce11	Histone	18773563
SRX4082340	ce11	Histone	23845675
SRX4082341	ce11	Histone	15407052
SRX4082342	ce11	Histone	20737442
SRX4082343	ce11	Histone	19830957
SRX4082344	ce11	Histone	16780662
SRX4082345	ce11	Histone	13970385
SRX4082346	ce11	Histone	12247529
SRX4082347	ce11	Histone	13936847
SRX4082348	ce11	Histone	12002611
SRX4082349	ce11	Histone	8409656
SRX4082350	ce11	Histone	13103423
SRX4082351	ce11	Histone	17334172
SRX4082352	ce11	Histone	14054183
SRX4082353	ce11	Histone	10874584
SRX4082354	ce11	Histone	26760587
SRX4082355	ce11	Histone	18302227
SRX4082356	ce11	Histone	19907659
SRX4082357	ce11	Histone	11907573
SRX4082358	ce11	Histone	14511367
SRX4082359	ce11	Histone	12081024
SRX4082360	ce11	Histone	13268521
SRX4082361	ce11	Histone	18785774
SRX4082362	ce11	Histone	11699193
SRX4082363	ce11	Histone	18559199
SRX4082364	ce11	Histone	32928597
SRX4082365	ce11	Histone	14756742
SRX4082366	ce11	Histone	12616786
SRX4082367	ce11	Histone	8069989
SRX4082368	ce11	Histone	14888088
SRX4082369	ce11	Histone	15954721
SRX4082370	ce11	Histone	12607152
SRX4082371	ce11	Histone	11730132
SRX4082372	ce11	Histone	12482146
SRX4082373	ce11	Histone	16654594
SRX4082374	ce11	Histone	11738901
SRX4082375	ce11	Histone	19591062
SRX4082376	ce11	Histone	6486000
SRX4082377	ce11	Histone	4476267
SRX4082378	ce11	Histone	17374970
SRX4082379	ce11	Histone	20054326
SRX4082380	ce11	Histone	13251486
SRX4082381	ce11	Histone	12919188
SRX4082382	ce11	ATAC-Seq	58415047
SRX4082383	ce11	ATAC-Seq	44471527
SRX4082384	ce11	ATAC-Seq	32468957
SRX4082385	ce11	ATAC-Seq	37414145
SRX4082386	ce11	ATAC-Seq	29366005
SRX4082387	ce11	ATAC-Seq	70329171
SRX4082388	ce11	ATAC-Seq	48530840
SRX4082389	ce11	ATAC-Seq	65190599
SRX4082390	ce11	ATAC-Seq	68043985
SRX4082391	ce11	ATAC-Seq	82365686
SRX4082392	ce11	ATAC-Seq	100971998
SRX4082393	ce11	ATAC-Seq	79358678
SRX4082394	ce11	ATAC-Seq	36672575
SRX4082395	ce11	ATAC-Seq	55644509
SRX4082396	ce11	ATAC-Seq	42803340
SRX4082397	ce11	ATAC-Seq	39099808
SRX4082398	ce11	ATAC-Seq	62019092
SRX4082399	ce11	ATAC-Seq	155945446
SRX4082400	ce11	ATAC-Seq	58396210
SRX4082401	ce11	ATAC-Seq	216855011
SRX4082402	ce11	ATAC-Seq	287144898
SRX4082403	ce11	ATAC-Seq	334907090
SRX4085338	ce11	DNase-seq	31421314
SRX4085339	ce11	DNase-seq	26268412
SRX4085340	ce11	DNase-seq	34958879
SRX4085341	ce11	DNase-seq	26582614
SRX4085342	ce11	DNase-seq	26880650
SRX4085343	ce11	DNase-seq	22476535
SRX4085344	ce11	DNase-seq	15586363
SRX4085345	ce11	DNase-seq	92223868
SRX4085346	ce11	DNase-seq	38342925
SRX4085347	ce11	DNase-seq	24577688
SRX4085348	ce11	DNase-seq	15383484
SRX4085349	ce11	DNase-seq	36867961
SRX4085350	ce11	DNase-seq	64691051
SRX4085351	ce11	DNase-seq	21977351
SRX4085352	ce11	DNase-seq	72753924
SRX4085353	ce11	DNase-seq	56107690
SRX4085354	ce11	DNase-seq	40640884
SRX4085355	ce11	DNase-seq	33188741
SRX4085356	ce11	DNase-seq	12039430
SRX4085357	ce11	DNase-seq	19379584
SRX4085358	ce11	DNase-seq	24365244
SRX4085359	ce11	DNase-seq	31585738
SRX4085360	ce11	DNase-seq	19703192
SRX4085361	ce11	DNase-seq	37368195
SRX4085362	ce11	DNase-seq	17406003
SRX4085363	ce11	DNase-seq	13503380
SRX4085364	ce11	DNase-seq	13229488
SRX4085365	ce11	DNase-seq	38347298
SRX4085366	ce11	DNase-seq	25802778
SRX4085367	ce11	DNase-seq	30806701
SRX4085368	ce11	DNase-seq	23665306
SRX4085369	ce11	DNase-seq	20071556
SRX4085370	ce11	DNase-seq	21514033
SRX4085371	ce11	DNase-seq	14631211
SRX4085372	ce11	DNase-seq	14357347
SRX4085373	ce11	DNase-seq	13330407
SRX4085374	ce11	DNase-seq	15348796
SRX4085375	ce11	DNase-seq	16321821
SRX4085376	ce11	DNase-seq	17630602
SRX4085377	ce11	DNase-seq	16124294
SRX4085378	ce11	DNase-seq	24712379
SRX4085379	ce11	DNase-seq	15617541
SRX4085380	ce11	DNase-seq	12502185
SRX4085381	ce11	DNase-seq	12127763
SRX4085382	ce11	DNase-seq	9786578
SRX4085383	ce11	DNase-seq	23444682
SRX4085384	ce11	DNase-seq	17580922
SRX4085385	ce11	DNase-seq	23416339
SRX4085386	ce11	DNase-seq	20259317
SRX4085387	ce11	DNase-seq	16752074
SRX4085388	ce11	DNase-seq	14999107
SRX4085389	ce11	DNase-seq	17707544
SRX4085390	ce11	DNase-seq	15430972
SRX4085391	ce11	DNase-seq	11256736
SRX4085392	ce11	DNase-seq	28117009
SRX4085393	ce11	DNase-seq	29930971
SRX4085394	ce11	DNase-seq	37931177
SRX4085395	ce11	DNase-seq	44130800
SRX4085396	ce11	DNase-seq	37815683
SRX4085397	ce11	DNase-seq	37938920
SRX4085398	ce11	DNase-seq	38357635
SRX4085399	ce11	DNase-seq	32931163
SRX4085400	ce11	DNase-seq	45810613
SRX4085401	ce11	DNase-seq	21354776
SRX4085402	ce11	DNase-seq	9862121
SRX4085403	ce11	DNase-seq	85721229
SRX4085404	ce11	DNase-seq	82483409
SRX4085405	ce11	DNase-seq	19278998
SRX4085406	ce11	DNase-seq	41433735
SRX4085407	ce11	DNase-seq	11435094
SRX4085408	ce11	DNase-seq	44324711
SRX4085409	ce11	DNase-seq	6110196
SRX4085410	ce11	DNase-seq	20844202
SRX4085411	ce11	DNase-seq	23049643
SRX4085412	ce11	DNase-seq	21947298
SRX4085413	ce11	DNase-seq	18770721
SRX4085414	ce11	DNase-seq	15304005
SRX4085415	ce11	DNase-seq	14884254
SRX4085416	ce11	DNase-seq	13804034
SRX4085417	ce11	DNase-seq	14395633
SRX4085418	ce11	DNase-seq	21026682
SRX4085419	ce11	DNase-seq	19006442
SRX4085420	ce11	DNase-seq	19662544
SRX4085421	ce11	DNase-seq	17365888
SRX4085422	ce11	DNase-seq	15275286
SRX4085423	ce11	DNase-seq	14065771
SRX4085424	ce11	DNase-seq	13497903
SRX4085425	ce11	DNase-seq	10971740
SRX4085426	ce11	DNase-seq	13417697
SRX4085427	ce11	DNase-seq	31721561
SRX4085428	ce11	DNase-seq	22413526
SRX4085429	ce11	DNase-seq	25946572
SRX4085430	ce11	DNase-seq	16787610
SRX4085431	ce11	DNase-seq	37159439
SRX4085432	ce11	DNase-seq	8102108
SRX4085433	ce11	DNase-seq	5047183
SRX4085434	ce11	DNase-seq	49445082
SRX4085435	ce11	DNase-seq	25917677
SRX4085436	ce11	DNase-seq	24333421
SRX4085437	ce11	DNase-seq	27216896
SRX4085438	ce11	DNase-seq	21680904
SRX4085439	ce11	DNase-seq	20859226
SRX4085440	ce11	DNase-seq	26010822
SRX4085441	ce11	DNase-seq	14155206
SRX4085442	ce11	DNase-seq	16165751
SRX4085443	ce11	DNase-seq	12951894
SRX4107862	ce11	Histone	14109239
SRX4107863	ce11	Histone	13293366
SRX4107864	ce11	Histone	14715159
SRX4107865	ce11	Histone	19322666
SRX4107866	ce11	Histone	15061539
SRX4107867	ce11	Histone	16335185
SRX4107868	ce11	TFs and others	15963054
SRX4107869	ce11	TFs and others	17452600
SRX4107870	ce11	TFs and others	14686336
SRX4107871	ce11	TFs and others	21333763
SRX4107872	ce11	TFs and others	19454218
SRX4107873	ce11	TFs and others	19084797
SRX4107874	ce11	TFs and others	18605029
SRX4107875	ce11	TFs and others	19402523
SRX4107876	ce11	TFs and others	16470012
SRX4107877	ce11	TFs and others	16364174
SRX4190891	ce11	Histone	24740702
SRX4190892	ce11	Histone	11289977
SRX4190895	ce11	Histone	31134909
SRX4190896	ce11	Histone	8541515
SRX4194184	ce11	Histone	29561205
SRX4194185	ce11	Histone	20260125
SRX4194186	ce11	Histone	23468821
SRX4194188	ce11	Histone	19251871
SRX4194190	ce11	Histone	21298561
SRX4194191	ce11	Histone	21960027
SRX4194193	ce11	Histone	22727964
SRX4194194	ce11	Histone	24843044
SRX4194196	ce11	Histone	17268138
SRX4194197	ce11	Histone	23302630
SRX4194198	ce11	Histone	25352525
SRX4194199	ce11	Histone	27321593
SRX4194200	ce11	Histone	19691430
SRX4194201	ce11	Histone	27646338
SRX4194202	ce11	Histone	24211924
SRX4194203	ce11	Histone	23615037
SRX4194204	ce11	Histone	22457947
SRX4194205	ce11	Histone	24750406
SRX4200528	ce11	Histone	41636318
SRX4200529	ce11	Histone	33988202
SRX4200530	ce11	Histone	24414932
SRX4200531	ce11	Histone	11147180
SRX4200532	ce11	Histone	38575975
SRX4200533	ce11	Histone	32258420
SRX4200534	ce11	Histone	18300137
SRX4200535	ce11	Histone	13436699
SRX4200536	ce11	Histone	12155564
SRX4200537	ce11	Histone	33370283
SRX4200538	ce11	Histone	30593783
SRX4200539	ce11	Histone	29014519
SRX4200540	ce11	Histone	24948630
SRX4419808	ce11	Histone	185689324
SRX4419810	ce11	Histone	143817267
SRX4419812	ce11	TFs and others	144240600
SRX4419814	ce11	TFs and others	74934890
SRX4419818	ce11	Histone	24333505
SRX4419820	ce11	Histone	24685558
SRX4419822	ce11	Histone	40708890
SRX4419824	ce11	Histone	86263517
SRX4419828	ce11	Histone	49095867
SRX4419830	ce11	Histone	43579053
SRX4626826	ce11	TFs and others	13986632
SRX4626827	ce11	TFs and others	10857527
SRX4626828	ce11	TFs and others	13643898
SRX4626829	ce11	TFs and others	11017364
SRX4626830	ce11	TFs and others	13892491
SRX4626831	ce11	TFs and others	9161960
SRX4626832	ce11	TFs and others	18523257
SRX4626833	ce11	TFs and others	13386168
SRX4626834	ce11	TFs and others	15303144
SRX4626835	ce11	TFs and others	12433035
SRX4626836	ce11	TFs and others	16699074
SRX4626837	ce11	TFs and others	12020472
SRX4626838	ce11	TFs and others	17035752
SRX4626839	ce11	TFs and others	12743671
SRX463082	ce11	Histone	8602844
SRX463083	ce11	Histone	27166289
SRX466457	ce11	Histone	21748232
SRX466458	ce11	Histone	34284849
SRX466461	ce11	Histone	24725094
SRX466462	ce11	Histone	18196513
SRX466465	ce11	Histone	6476796
SRX466466	ce11	Histone	11803024
SRX466469	ce11	Histone	38123596
SRX466470	ce11	Histone	3514477
SRX466473	ce11	Histone	10041623
SRX466474	ce11	Histone	16986480
SRX466477	ce11	Histone	10890345
SRX466478	ce11	Histone	24825986
SRX466481	ce11	Histone	19609564
SRX466482	ce11	Histone	13823502
SRX466485	ce11	Histone	13254411
SRX466486	ce11	Histone	15961902
SRX466489	ce11	Histone	34986228
SRX466490	ce11	Histone	31312856
SRX466493	ce11	Histone	12795015
SRX466494	ce11	Histone	5349280
SRX466497	ce11	Histone	31990085
SRX466498	ce11	Histone	34080196
SRX466501	ce11	Histone	15082416
SRX466502	ce11	Histone	11726087
SRX466505	ce11	Histone	16287635
SRX466506	ce11	Histone	18302243
SRX466509	ce11	Histone	15773092
SRX466510	ce11	Histone	12970684
SRX466513	ce11	Histone	11256944
SRX466514	ce11	Histone	10074435
SRX466517	ce11	Histone	6078767
SRX466518	ce11	Histone	12779464
SRX466521	ce11	Histone	16298836
SRX466522	ce11	Histone	10244663
SRX466525	ce11	Histone	14151570
SRX466526	ce11	Histone	13375373
SRX466529	ce11	Histone	13475705
SRX466530	ce11	Histone	16533626
SRX466533	ce11	Histone	14305495
SRX466534	ce11	Histone	16090826
SRX466537	ce11	Histone	13465976
SRX466538	ce11	Histone	13807720
SRX466541	ce11	Histone	9182496
SRX466542	ce11	Histone	9402304
SRX466545	ce11	Histone	6591370
SRX466546	ce11	Histone	8486964
SRX466549	ce11	Histone	7637125
SRX466550	ce11	Histone	13183810
SRX466553	ce11	Histone	6508319
SRX466554	ce11	Histone	12255160
SRX466557	ce11	Histone	10739261
SRX466558	ce11	Histone	14156918
SRX466561	ce11	Histone	9124083
SRX466562	ce11	Histone	15485332
SRX466565	ce11	TFs and others	10136067
SRX466566	ce11	TFs and others	14236000
SRX466568	ce11	TFs and others	20261247
SRX466571	ce11	TFs and others	23677270
SRX466572	ce11	TFs and others	25850275
SRX466575	ce11	TFs and others	29778468
SRX466576	ce11	TFs and others	22369021
SRX466579	ce11	TFs and others	35457974
SRX466580	ce11	TFs and others	10275943
SRX466583	ce11	TFs and others	23248090
SRX466584	ce11	TFs and others	19796325
SRX466587	ce11	TFs and others	19637039
SRX466588	ce11	TFs and others	8287219
SRX467092	ce11	TFs and others	6478023
SRX467094	ce11	TFs and others	3289633
SRX467177	ce11	TFs and others	8886714
SRX467179	ce11	TFs and others	7588464
SRX494821	ce11	TFs and others	16864948
SRX494822	ce11	TFs and others	16560194
SRX494825	ce11	TFs and others	14341533
SRX494826	ce11	TFs and others	16052001
SRX494830	ce11	TFs and others	28506467
SRX494831	ce11	TFs and others	27717782
SRX494834	ce11	Histone	28363255
SRX494835	ce11	Histone	23497136
SRX494838	ce11	Histone	33596184
SRX494839	ce11	Histone	21381473
SRX494842	ce11	Histone	7317351
SRX494843	ce11	Histone	15611842
SRX494846	ce11	Histone	12714648
SRX494847	ce11	Histone	10356561
SRX494850	ce11	Histone	18128454
SRX494851	ce11	Histone	15350886
SRX494854	ce11	Histone	8666051
SRX494855	ce11	Histone	15764051
SRX494858	ce11	Histone	25269306
SRX494859	ce11	Histone	17661015
SRX494861	ce11	TFs and others	21027748
SRX494864	ce11	TFs and others	69236731
SRX494867	ce11	TFs and others	25639516
SRX494868	ce11	TFs and others	20687604
SRX494870	ce11	TFs and others	29910991
SRX494873	ce11	TFs and others	13609530
SRX494874	ce11	TFs and others	17698930
SRX494877	ce11	TFs and others	17837914
SRX494880	ce11	TFs and others	22666423
SRX494881	ce11	TFs and others	25924428
SRX494884	ce11	TFs and others	37576402
SRX494885	ce11	TFs and others	27049335
SRX494887	ce11	TFs and others	17172096
SRX494889	ce11	TFs and others	21899585
SRX494892	ce11	TFs and others	14642022
SRX494893	ce11	TFs and others	17571930
SRX494896	ce11	TFs and others	45330527
SRX494897	ce11	TFs and others	19681495
SRX494900	ce11	TFs and others	16259739
SRX494901	ce11	TFs and others	14242272
SRX494904	ce11	TFs and others	26790193
SRX494905	ce11	TFs and others	32920832
SRX494908	ce11	TFs and others	44266107
SRX494909	ce11	TFs and others	24216614
SRX494912	ce11	TFs and others	9596946
SRX494913	ce11	TFs and others	29666016
SRX494916	ce11	TFs and others	26877758
SRX494917	ce11	TFs and others	27822469
SRX494920	ce11	TFs and others	36072847
SRX494921	ce11	TFs and others	31980836
SRX494923	ce11	TFs and others	21771760
SRX494926	ce11	TFs and others	33753219
SRX494929	ce11	Histone	26129426
SRX494930	ce11	Histone	23523716
SRX494933	ce11	Histone	23357879
SRX494934	ce11	Histone	26578904
SRX494937	ce11	Histone	27599297
SRX494938	ce11	Histone	24995798
SRX494941	ce11	Histone	26509773
SRX494942	ce11	Histone	22264456
SRX494945	ce11	Histone	27753616
SRX494946	ce11	Histone	30472199
SRX494949	ce11	TFs and others	20769458
SRX494950	ce11	TFs and others	25949020
SRX494952	ce11	TFs and others	33047917
SRX494956	ce11	TFs and others	26663443
SRX494957	ce11	TFs and others	17778538
SRX494960	ce11	TFs and others	4465444
SRX494961	ce11	TFs and others	36876981
SRX494964	ce11	TFs and others	6065387
SRX494965	ce11	TFs and others	14251498
SRX494968	ce11	TFs and others	18432468
SRX494969	ce11	TFs and others	8451937
SRX494972	ce11	TFs and others	26851729
SRX494973	ce11	TFs and others	14762597
SRX494976	ce11	Histone	33054504
SRX494977	ce11	Histone	29285047
SRX494984	ce11	Histone	10015794
SRX494985	ce11	Histone	11592817
SRX494988	ce11	TFs and others	4716670
SRX494989	ce11	TFs and others	13613870
SRX494992	ce11	Histone	11863744
SRX494993	ce11	Histone	13396177
SRX494996	ce11	TFs and others	17534405
SRX494999	ce11	TFs and others	15778723
SRX495000	ce11	TFs and others	11715770
SRX495003	ce11	TFs and others	6972845
SRX495004	ce11	TFs and others	19595990
SRX495007	ce11	TFs and others	19425966
SRX495008	ce11	TFs and others	16689254
SRX495011	ce11	TFs and others	11801157
SRX495012	ce11	TFs and others	12429446
SRX495015	ce11	TFs and others	15153575
SRX495016	ce11	TFs and others	10976216
SRX495019	ce11	TFs and others	12939172
SRX495020	ce11	TFs and others	19841011
SRX495023	ce11	TFs and others	17440591
SRX495024	ce11	TFs and others	11722131
SRX495027	ce11	Histone	23940762
SRX495028	ce11	Histone	22906742
SRX495031	ce11	Histone	20667922
SRX495032	ce11	Histone	28232537
SRX495035	ce11	TFs and others	15485227
SRX495036	ce11	TFs and others	12255371
SRX495039	ce11	Histone	19979324
SRX495040	ce11	Histone	23628764
SRX495043	ce11	Histone	24122451
SRX495044	ce11	Histone	27236726
SRX495047	ce11	TFs and others	11756944
SRX495048	ce11	TFs and others	14746480
SRX495051	ce11	TFs and others	13687242
SRX495052	ce11	TFs and others	12195002
SRX495055	ce11	TFs and others	11503630
SRX495056	ce11	TFs and others	17578572
SRX495059	ce11	TFs and others	12994743
SRX495060	ce11	TFs and others	19076562
SRX495063	ce11	TFs and others	14292658
SRX495064	ce11	TFs and others	13404715
SRX495067	ce11	TFs and others	16193431
SRX495068	ce11	TFs and others	13933552
SRX495071	ce11	TFs and others	12966659
SRX495072	ce11	TFs and others	22611426
SRX495075	ce11	TFs and others	12762765
SRX495076	ce11	TFs and others	18930018
SRX495079	ce11	TFs and others	14382334
SRX495080	ce11	TFs and others	13181807
SRX495083	ce11	TFs and others	7257325
SRX495084	ce11	TFs and others	13226623
SRX495087	ce11	TFs and others	9571582
SRX495088	ce11	TFs and others	13944143
SRX495091	ce11	TFs and others	6747970
SRX495092	ce11	TFs and others	11245765
SRX495095	ce11	TFs and others	8157797
SRX495096	ce11	TFs and others	26190925
SRX495099	ce11	TFs and others	17890390
SRX495100	ce11	TFs and others	9064871
SRX495103	ce11	TFs and others	14545777
SRX495104	ce11	TFs and others	13968794
SRX495107	ce11	Histone	25622332
SRX495108	ce11	Histone	28380011
SRX495115	ce11	TFs and others	30872377
SRX495116	ce11	TFs and others	21028668
